crime date,crime count
2020-01-01,562
2020-01-02,452
2020-01-03,508
2020-01-04,491
2020-01-05,470
2020-01-06,527
2020-01-07,471
2020-01-08,479
2020-01-09,515
2020-01-10,543
2020-01-11,508
2020-01-12,474
2020-01-13,503
2020-01-14,483
2020-01-15,515
2020-01-16,532
2020-01-17,577
2020-01-18,519
2020-01-19,538
2020-01-20,513
2020-01-21,531
2020-01-22,519
2020-01-23,537
2020-01-24,575
2020-01-25,542
2020-01-26,553
2020-01-27,541
2020-01-28,563
2020-01-29,537
2020-01-30,531
2020-01-31,587
2020-02-01,534
2020-02-02,601
2020-02-03,502
2020-02-04,492
2020-02-05,564
2020-02-06,480
2020-02-07,583
2020-02-08,554
2020-02-09,473
2020-02-10,544
2020-02-11,495
2020-02-12,505
2020-02-13,568
2020-02-14,570
2020-02-15,523
2020-02-16,498
2020-02-17,537
2020-02-18,509
2020-02-19,521
2020-02-20,510
2020-02-21,583
2020-02-22,567
2020-02-23,499
2020-02-24,522
2020-02-25,550
2020-02-26,558
2020-02-27,519
2020-02-28,595
2020-02-29,548
2020-03-01,523
2020-03-02,555
2020-03-03,513
2020-03-04,482
2020-03-05,507
2020-03-06,520
2020-03-07,476
2020-03-08,515
2020-03-09,487
2020-03-10,497
2020-03-11,533
2020-03-12,437
2020-03-13,469
2020-03-14,489
2020-03-15,481
2020-03-16,450
2020-03-17,434
2020-03-18,393
2020-03-19,374
2020-03-20,395
2020-03-21,395
2020-03-22,381
2020-03-23,445
2020-03-24,439
2020-03-25,458
2020-03-26,433
2020-03-27,475
2020-03-28,408
2020-03-29,383
2020-03-30,438
2020-03-31,416
2020-04-01,423
2020-04-02,410
2020-04-03,448
2020-04-04,438
2020-04-05,419
2020-04-06,445
2020-04-07,428
2020-04-08,392
2020-04-09,381
2020-04-10,464
2020-04-11,484
2020-04-12,434
2020-04-13,466
2020-04-14,472
2020-04-15,464
2020-04-16,503
2020-04-17,507
2020-04-18,489
2020-04-19,480
2020-04-20,494
2020-04-21,470
2020-04-22,462
2020-04-23,497
2020-04-24,514
2020-04-25,549
2020-04-26,503
2020-04-27,508
2020-04-28,550
2020-04-29,468
2020-04-30,486
2020-05-01,478
2020-05-02,502
2020-05-03,457
2020-05-04,514
2020-05-05,491
2020-05-06,496
2020-05-07,466
2020-05-08,486
2020-05-09,510
2020-05-10,480
2020-05-11,442
2020-05-12,461
2020-05-13,468
2020-05-14,467
2020-05-15,492
2020-05-16,517
2020-05-17,515
2020-05-18,504
2020-05-19,437
2020-05-20,499
2020-05-21,465
2020-05-22,519
2020-05-23,522
2020-05-24,478
2020-05-25,472
